UtteranceDataType,utterance,intent,agent_id,background_skill_id
GOLDEN_SET,tell me about accessibility services,InfoAccessibilityIntent,,
GOLDEN_SET,what accessibility services exist,InfoAccessibilityIntent,,
GOLDEN_SET,what accessible services or specialty services are available,InfoAccessibilityIntent,,
GOLDEN_SET,what are the accessibility services,InfoAccessibilityIntent,,
GOLDEN_SET,bleeding,BleedingIntent,,
GOLDEN_SET,i am bleeding,BleedingIntent,,
GOLDEN_SET,i'm bleeding,BleedingIntent,,
GOLDEN_SET,check my blood pressure,BloodPressureIntent,,
GOLDEN_SET,check my pressure,BloodPressureIntent,,
GOLDEN_SET,i need my blood pressure checked,BloodPressureIntent,,
GOLDEN_SET,take blood pressure,BloodPressureIntent,,
GOLDEN_SET,take my blood pressure,BloodPressureIntent,,
GOLDEN_SET,what is my blood pressure,BloodPressureIntent,,
GOLDEN_SET,check my blood sugar,BloodPressureIntent,,
GOLDEN_SET,check my sugar,BloodPressureIntent,,
GOLDEN_SET,i need my blood sugar checked,BloodPressureIntent,,
GOLDEN_SET,i need my oxygen checked,BloodPressureIntent,,
GOLDEN_SET,i need my sugar checked,BloodPressureIntent,,
GOLDEN_SET,i need to check my sugar,BloodPressureIntent,,
GOLDEN_SET,i am feeling lonely,BoredomIntent,,
GOLDEN_SET,i'm bored,BoredomIntent,,
GOLDEN_SET,i'm need company,BoredomIntent,,
GOLDEN_SET,i'm need some company,BoredomIntent,,
GOLDEN_SET,i'm sad,BoredomIntent,,
GOLDEN_SET,what is the main address,InfoAddressIntent,,
GOLDEN_SET,what is the address here,InfoAddressIntent,,
GOLDEN_SET,what is the address of the hospital,InfoAddressIntent,,
GOLDEN_SET,how do you call the hospital,InfoPhoneNumberIntent,,
GOLDEN_SET,what is the main phone number,InfoPhoneNumberIntent,,
GOLDEN_SET,what is the number for the hospital,InfoPhoneNumberIntent,,
GOLDEN_SET,what is the phone number of the hospital,InfoPhoneNumberIntent,,
GOLDEN_SET,what is the number here,InfoPhoneNumberIntent,,
GOLDEN_SET,i need an escort,HelpEscortIntent,,
GOLDEN_SET,i wanna go for a walk,HelpEscortIntent,,
GOLDEN_SET,i wanna walk,HelpEscortIntent,,
GOLDEN_SET,i want an escort,HelpEscortIntent,,
GOLDEN_SET,i want to go for a walk,HelpEscortIntent,,
GOLDEN_SET,i want to walk,HelpEscortIntent,,
GOLDEN_SET,i'm going for a walk,HelpEscortIntent,,
GOLDEN_SET,i'm ready to walk,HelpEscortIntent,,
GOLDEN_SET,help i fell,HelpFallIntent,,
GOLDEN_SET,help i fell down,HelpFallIntent,,
GOLDEN_SET,help i've fallen,HelpFallIntent,,
GOLDEN_SET,i fell,HelpFallIntent,,
GOLDEN_SET,i fell and i can't get up,HelpFallIntent,,
GOLDEN_SET,i fell down,HelpFallIntent,,
GOLDEN_SET,i fell to the ground,HelpFallIntent,,
GOLDEN_SET,i tripped,HelpFallIntent,,
GOLDEN_SET,i'm stuck,HelpFallIntent,,
GOLDEN_SET,i've fallen,HelpFallIntent,,
GOLDEN_SET,ask for help,HelpGeneralIntent,,
GOLDEN_SET,can someone help me,HelpGeneralIntent,,
GOLDEN_SET,could you help me,HelpGeneralIntent,,
GOLDEN_SET,help,HelpGeneralIntent,,
GOLDEN_SET,i need assistance,HelpGeneralIntent,,
GOLDEN_SET,i need help,HelpGeneralIntent,,
GOLDEN_SET,i need help now,HelpGeneralIntent,,
GOLDEN_SET,i need something for me,HelpGeneralIntent,,
GOLDEN_SET,i want help,HelpGeneralIntent,,
GOLDEN_SET,i've had an accident,HelpGeneralIntent,,
GOLDEN_SET,please help me get dressed,HelpGeneralIntent,,
GOLDEN_SET,will you help me,HelpGeneralIntent,,
GOLDEN_SET,help me,HelpGeneralIntent,,
GOLDEN_SET,please help,HelpGeneralIntent,,
GOLDEN_SET,please help me,HelpGeneralIntent,,
GOLDEN_SET,ask my team for help,HelpNeedBackupIntent,,
GOLDEN_SET,ask my team to help me,HelpNeedBackupIntent,,
GOLDEN_SET,tell my team i need help,HelpNeedBackupIntent,,
GOLDEN_SET,tell my team to come help me,HelpNeedBackupIntent,,
GOLDEN_SET,tell my team i need back up,HelpNeedBackupIntent,,
GOLDEN_SET,tell my team i need staff assist,HelpNeedBackupIntent,,
GOLDEN_SET,tell my team staff assist,HelpNeedBackupIntent,,
GOLDEN_SET,tell my team i need nurse assist,HelpNeedBackupIntent,,
GOLDEN_SET,tell my team nurse assist,HelpNeedBackupIntent,,
GOLDEN_SET,i need backup,HelpNeedBackupIntent,,
GOLDEN_SET,i don't have hot water,MaintenanceIntent,,
GOLDEN_SET,i have ants in the cabinets,MaintenanceIntent,,
GOLDEN_SET,i have ants in the kitchen,MaintenanceIntent,,
GOLDEN_SET,i need a new air filter,MaintenanceIntent,,
GOLDEN_SET,i need a new t. v.,MaintenanceIntent,,
GOLDEN_SET,i need a new television,MaintenanceIntent,,
GOLDEN_SET,i need help with my t. v.,MaintenanceIntent,,
GOLDEN_SET,i need the air filter replaced,MaintenanceIntent,,
GOLDEN_SET,i want a new air filter,MaintenanceIntent,,
GOLDEN_SET,i want the air filter replaced,MaintenanceIntent,,
GOLDEN_SET,my a. c. is broken,MaintenanceIntent,,
GOLDEN_SET,my air conditioner is broken,MaintenanceIntent,,
GOLDEN_SET,my air conditioner isn't working,MaintenanceIntent,,
GOLDEN_SET,my fridge is broken,MaintenanceIntent,,
GOLDEN_SET,my fridge isn't working,MaintenanceIntent,,
GOLDEN_SET,my heat is broken,MaintenanceIntent,,
GOLDEN_SET,my heat isn't working,MaintenanceIntent,,
GOLDEN_SET,my heater is broken,MaintenanceIntent,,
GOLDEN_SET,my heater isn't working,MaintenanceIntent,,
GOLDEN_SET,my pendant is broken,MaintenanceIntent,,
GOLDEN_SET,my pendant is not working,MaintenanceIntent,,
GOLDEN_SET,my pendant isn't working,MaintenanceIntent,,
GOLDEN_SET,my pull cord is broken,MaintenanceIntent,,
GOLDEN_SET,my pull cord isn't working,MaintenanceIntent,,
GOLDEN_SET,my sink is clogged,MaintenanceIntent,,
GOLDEN_SET,my smoke alarm is beeping,MaintenanceIntent,,
GOLDEN_SET,my smoke alarm is going off,MaintenanceIntent,,
GOLDEN_SET,my t. v. doesn't work,MaintenanceIntent,,
GOLDEN_SET,my t. v. is broken,MaintenanceIntent,,
GOLDEN_SET,my t. v. is not working,MaintenanceIntent,,
GOLDEN_SET,my t. v. isn't working,MaintenanceIntent,,
GOLDEN_SET,my t. v. won't turn on,MaintenanceIntent,,
GOLDEN_SET,my television is broken,MaintenanceIntent,,
GOLDEN_SET,my toilet is broken,MaintenanceIntent,,
GOLDEN_SET,my toilet is clogged,MaintenanceIntent,,
GOLDEN_SET,my toilet is running,MaintenanceIntent,,
GOLDEN_SET,my toilet isn't working,MaintenanceIntent,,
GOLDEN_SET,pendant not working,MaintenanceIntent,,
GOLDEN_SET,pull cord is broken,MaintenanceIntent,,
GOLDEN_SET,pull cord is not working,MaintenanceIntent,,
GOLDEN_SET,the a. c. is broken,MaintenanceIntent,,
GOLDEN_SET,the air conditioner is broken,MaintenanceIntent,,
GOLDEN_SET,the air conditioner isn't working,MaintenanceIntent,,
GOLDEN_SET,the fridge is broken,MaintenanceIntent,,
GOLDEN_SET,the fridge isn't working,MaintenanceIntent,,
GOLDEN_SET,the heat is broken,MaintenanceIntent,,
GOLDEN_SET,the heat isn't working,MaintenanceIntent,,
GOLDEN_SET,the heater is broken,MaintenanceIntent,,
